timestamp,TimeUS,Instance,Volt,VoltR,Curr,CurrTot,EnrgTot,Temp,Res,RemPct
1656402803.98014188,327508998,0,21.693073272705078,23.119911193847656,20.693824768066406,923.8096313476562,20.465055465698242,0.0,0.06894997507333755,88
1656402804.08003402,327608890,0,21.553871154785156,23.10856056213379,22.55111312866211,924.4354248046875,20.478544235229492,0.0,0.06894071400165558,88
1656402804.18013096,327708987,0,21.610929489135742,23.06182289123535,20.98383331298828,925.0189208984375,20.491153717041016,0.0,0.06914335489273071,88
1656402804.28007507,327808931,0,21.745176315307617,23.066444396972656,19.147478103637695,925.550537109375,20.502714157104492,0.0,0.06900481879711151,88
1656402804.38010693,327908963,0,21.8065242767334,23.087675094604492,18.572914123535156,926.066650390625,20.51396942138672,0.0,0.06897953897714615,88
1656402804.48002505,328008881,0,21.774930953979492,23.107830047607422,19.30699348449707,926.6025390625,20.525638580322266,0.0,0.06903716176748276,88
1656402804.58003902,328108895,0,21.749366760253906,23.066150665283203,19.10536766052246,927.1333618164062,20.53718376159668,0.0,0.06892220675945282,88
1656402804.68005085,328208907,0,21.745920181274414,23.06409454345703,19.152318954467773,927.6654663085938,20.548755645751953,0.0,0.0688258707523346,88
1656402804.78005004,328308906,0,21.728687286376953,23.116270065307617,20.20402717590332,928.2266845703125,20.560951232910156,0.0,0.06867850571870804,88
1656402804.88009596,328408952,0,21.833425521850586,23.103776931762695,18.479312896728516,928.7402954101562,20.57216453552246,0.0,0.06874450296163559,88
1656402804.98006606,328508922,0,21.795991897583008,23.093385696411133,18.86967658996582,929.2643432617188,20.583585739135742,0.0,0.06875550001859665,88
1656402805.08011293,328608969,0,21.638694763183594,23.037769317626953,20.277681350708008,929.8279418945312,20.595781326293945,0.0,0.06899581849575043,88
1656402805.18009400,328708950,0,21.66347885131836,23.068359375,20.338207244873047,930.392822265625,20.60801887512207,0.0,0.06907596439123154,88
1656402805.28010988,328808966,0,21.722177505493164,23.114337921142578,20.193286895751953,930.953857421875,20.620206832885742,0.0,0.06894175708293915,88
1656402805.38010907,328908965,0,21.73720932006836,23.09396743774414,19.672494888305664,931.5003662109375,20.6320858001709,0.0,0.0689672976732254,88
1656402805.48006201,329008918,0,21.766313552856445,23.111053466796875,19.474246978759766,932.041015625,20.64385414123535,0.0,0.06905219703912735,88
1656402805.58010292,329108959,0,21.727827072143555,23.094003677368164,19.784818649291992,932.5909423828125,20.65580177307129,0.0,0.06905180960893631,88
1656402805.68008804,329208944,0,21.668468475341797,23.054101943969727,20.014677047729492,933.1468505859375,20.667848587036133,0.0,0.0692308247089386,88
1656402805.78012991,329308986,0,21.728975296020508,23.091066360473633,19.673725128173828,933.693603515625,20.679729461669922,0.0,0.06923399865627289,88
1656402805.88011694,329408973,0,21.73653793334961,23.107318878173828,19.79924201965332,934.2435302734375,20.691682815551758,0.0,0.06923399865627289,88
1656402805.98011088,329508967,0,21.753005981445312,23.114479064941406,19.641807556152344,934.788818359375,20.70354461669922,0.0,0.06931501626968384,88
1656402806.07999492,329608851,0,21.685924530029297,23.064857482910156,19.850934982299805,935.3399658203125,20.715496063232422,0.0,0.06946440041065216,88
1656402806.18005991,329708916,0,21.686851501464844,23.049211502075195,19.612348556518555,935.8851318359375,20.727319717407227,0.0,0.06946440041065216,88
1656402806.28008008,329808936,0,21.791492462158203,23.1278018951416,19.194671630859375,936.41845703125,20.738941192626953,0.0,0.06961880624294281,88
1656402806.37999392,329908850,0,21.739124298095703,23.10778045654297,19.64733123779297,936.9638061523438,20.750797271728516,0.0,0.06966118514537811,88
1656402806.48007202,330008928,0,21.797046661376953,23.12647247314453,19.05565071105957,937.4935913085938,20.762344360351562,0.0,0.06976538896560669,88
1656402806.58007598,330108932,0,21.7430477142334,23.052837371826172,18.82855224609375,938.0166625976562,20.773717880249023,0.0,0.06956398487091064,88
1656402806.68011403,330208970,0,21.785842895507812,23.112268447875977,19.047977447509766,938.5460205078125,20.785249710083008,0.0,0.06963606923818588,88
1656402806.78012490,330308981,0,21.77186393737793,23.094970703125,19.003171920776367,939.073974609375,20.79674530029297,0.0,0.06962552666664124,88
1656402806.88017201,330409028,0,21.802724838256836,23.098337173461914,18.607013702392578,939.5911254882812,20.808019638061523,0.0,0.06963027268648148,88
1656402806.98008490,330508941,0,21.80202293395996,23.125532150268555,18.978313446044922,940.1178588867188,20.819503784179688,0.0,0.06973793357610703,88
1656402807.08014894,330609005,0,21.806331634521484,23.091936111450195,18.446781158447266,940.630615234375,20.830686569213867,0.0,0.06969262659549713,88
1656402807.18010497,330708961,0,21.78450584411621,23.06964111328125,18.471946716308594,941.1435546875,20.841859817504883,0.0,0.06957226991653442,88
1656402807.28004193,330808898,0,21.782970428466797,23.09679412841797,18.881338119506836,941.667724609375,20.85327911376953,0.0,0.06958316266536713,88
1656402807.38010406,330908960,0,21.676607131958008,23.119510650634766,20.76993179321289,942.2450561523438,20.865793228149414,0.0,0.06947078555822372,88
1656402807.48001003,331008866,0,21.693073272705078,23.11328125,20.46488380432129,942.8130493164062,20.878114700317383,0.0,0.06939733773469925,88
1656402807.58002305,331108879,0,21.8100643157959,23.047237396240234,17.87811851501465,943.3097534179688,20.888948440551758,0.0,0.06920038908720016,88
1656402807.68004489,331208901,0,21.85659408569336,23.036968231201172,17.104759216308594,943.7848510742188,20.89933204650879,0.0,0.06900850683450699,88
1656402807.78008008,331308936,0,21.838680267333984,23.110387802124023,18.392532348632812,944.2962036132812,20.910499572753906,0.0,0.06914258003234863,88
1656402807.88000107,331408857,0,21.712221145629883,23.138259887695312,20.698734283447266,944.8707885742188,20.9229736328125,0.0,0.06889497488737106,88
1656402807.98011994,331508976,0,21.664064407348633,23.11720848083496,21.131752014160156,945.4585571289062,20.935707092285156,0.0,0.06876586377620697,88
1656402808.08011389,331608970,0,21.759706497192383,23.03228759765625,18.56708335876465,945.9743041992188,20.946929931640625,0.0,0.06853966414928436,88
1656402808.18007398,331708930,0,21.799345016479492,23.04671859741211,18.231040954589844,946.4805297851562,20.957965850830078,0.0,0.06842031329870224,88
1656402808.28007197,331808928,0,21.68733024597168,23.10991668701172,20.845733642578125,947.0596313476562,20.970523834228516,0.0,0.06824352592229843,88
1656402808.38006401,331908920,0,21.571582794189453,23.091333389282227,22.2945556640625,947.678955078125,20.983882904052734,0.0,0.06816685199737549,88
1656402808.48010707,332008963,0,21.762866973876953,23.073394775390625,19.22812271118164,948.2133178710938,20.995512008666992,0.0,0.06815680116415024,88
1656402808.58004403,332108900,0,21.823575973510742,23.062292098999023,18.187938690185547,948.71826171875,21.00653076171875,0.0,0.06810644268989563,88
1656402808.68002295,332208879,0,21.727920532226562,23.064605712890625,19.616336822509766,949.2630615234375,21.018369674682617,0.0,0.06814142316579819,88
1656402808.78000593,332308862,0,21.632375717163086,23.11326026916504,21.79279327392578,949.8683471679688,21.031463623046875,0.0,0.06795297563076019,88
1656402808.88015699,332409013,0,21.69144630432129,23.009794235229492,19.40089988708496,950.4081420898438,21.04317283630371,0.0,0.06795297563076019,88
1656402808.98010206,332508958,0,21.82490348815918,23.072965621948242,18.357784271240234,950.9178466796875,21.054296493530273,0.0,0.06798547506332397,88
1656402809.08000803,332608864,0,21.728496551513672,23.04787254333496,19.4067325592041,951.4564819335938,21.06599998474121,0.0,0.06798547506332397,88
1656402809.18001485,332708871,0,21.67354393005371,23.048858642578125,20.210166931152344,952.0179443359375,21.078168869018555,0.0,0.06805060058832169,88
1656402809.28000998,332808866,0,21.752334594726562,23.09544563293457,19.736942291259766,952.5662231445312,21.09009552001953,0.0,0.06805060058832169,88
1656402809.38008285,332908939,0,21.76325035095215,23.07396125793457,19.2539005279541,953.1015014648438,21.101743698120117,0.0,0.06807505339384079,88
1656402809.48006606,333008922,0,21.7050724029541,23.102489471435547,20.573148727416992,953.6729125976562,21.114147186279297,0.0,0.06792428344488144,88
1656402809.58006787,333108924,0,21.577899932861328,23.04848861694336,21.6163330078125,954.2734375,21.127105712890625,0.0,0.06803138554096222,88
1656402809.68006897,333208925,0,21.691638946533203,23.036291122436523,19.765178680419922,954.822509765625,21.13901710510254,0.0,0.06803138554096222,88
1656402809.78014207,333308998,0,21.80518341064453,23.084426879882812,18.78251838684082,955.3446655273438,21.150402069091797,0.0,0.0681082159280777,88
1656402809.88012195,333408978,0,21.661958694458008,23.083473205566406,20.891460418701172,955.9249267578125,21.16297149658203,0.0,0.0680428147315979,88
1656402809.98003697,333508893,0,21.697572708129883,23.0950927734375,20.572603225708008,956.4959106445312,21.17536163330078,0.0,0.0679311603307724,88
1656402810.08015490,333609011,0,21.67143440246582,23.078779220581055,20.725738525390625,957.0723876953125,21.187854766845703,0.0,0.06790323555469513,88
1656402810.18005490,333708911,0,21.671245574951172,23.02120018005371,19.88056755065918,957.6241455078125,21.199811935424805,0.0,0.06790323555469513,88
1656402810.28010392,333808960,0,21.79857635498047,23.062009811401367,18.609058380126953,958.141357421875,21.21108627319336,0.0,0.06789341568946838,88
1656402810.38000703,333908863,0,21.62442970275879,23.07901382446289,21.446008682250977,958.736572265625,21.223957061767578,0.0,0.06782541424036026,88
1656402810.48012495,334008981,0,21.532329559326172,23.08257484436035,22.88286018371582,959.3729858398438,21.237661361694336,0.0,0.06774702668190002,88
1656402810.58000207,334108858,0,21.738548278808594,22.994827270507812,18.61956214904785,959.8895874023438,21.248891830444336,0.0,0.06747094541788101,88
1656402810.68004203,334208898,0,21.726198196411133,23.020668029785156,19.217687606811523,960.4236450195312,21.260496139526367,0.0,0.06735825538635254,87
1656402810.78003192,334308888,0,21.56890296936035,23.105484008789062,22.90833282470703,961.0599975585938,21.274221420288086,0.0,0.06707523763179779,87
1656402810.87998104,334408837,0,21.67009735107422,23.086959838867188,21.12346839904785,961.646484375,21.28693199157715,0.0,0.06707523763179779,87
1656402810.98010492,334508961,0,21.802885055541992,23.05777931213379,18.706104278564453,962.1666259765625,21.29827308654785,0.0,0.06708475947380066,87
1656402811.08005095,334608907,0,21.749366760253906,23.000015258789062,18.702423095703125,962.68603515625,21.3095703125,0.0,0.06687090545892715,87
1656402811.18007398,334708930,0,21.628376007080078,23.008230209350586,20.58644676208496,963.258056640625,21.321941375732422,0.0,0.06702732294797897,87
1656402811.28002501,334808881,0,21.58776092529297,23.064565658569336,22.06991195678711,963.870849609375,21.33517074584961,0.0,0.06691482663154602,87
1656402811.38011289,334908969,0,21.6578426361084,23.041749954223633,20.68124008178711,964.4458618164062,21.347623825073242,0.0,0.06691602617502213,87
1656402811.48006892,335008925,0,21.744773864746094,23.059114456176758,19.622474670410156,964.99072265625,21.359472274780273,0.0,0.06698135286569595,87
1656402811.58016992,335109026,0,21.718730926513672,23.03098487854004,19.608049392700195,965.5359497070312,21.371315002441406,0.0,0.06692420691251755,87
1656402811.68011403,335208970,0,21.690391540527344,22.98944091796875,19.469642639160156,966.0765380859375,21.383039474487305,0.0,0.06672175228595734,87
1656402811.78015304,335309009,0,21.72495460510254,23.033586502075195,19.60958480834961,966.6215209960938,21.394878387451172,0.0,0.06673432141542435,87
1656402811.88002205,335408878,0,21.748218536376953,23.049762725830078,19.482532501220703,967.1620483398438,21.406633377075195,0.0,0.06680573523044586,87
1656402811.98012495,335508981,0,21.729455947875977,23.054553985595703,19.8133602142334,967.7130126953125,21.41860580444336,0.0,0.06687897443771362,87
1656402812.08009887,335608955,0,21.684436798095703,23.00383758544922,19.728179931640625,968.2609252929688,21.43048667907715,0.0,0.06687897443771362,87
1656402812.18014097,335708997,0,21.678712844848633,22.99917221069336,19.744003295898438,968.8096313476562,21.4423828125,0.0,0.06687897443771362,87
1656402812.28001285,335808869,0,21.734622955322266,23.058731079101562,19.76395034790039,969.3579711914062,21.454299926757812,0.0,0.06699612736701965,87
1656402812.38002300,335908879,0,21.762483596801758,23.03145408630371,18.94486427307129,969.8843383789062,21.46575355529785,0.0,0.06698230654001236,87
1656402812.48006487,336008921,0,21.777034759521484,23.066015243530273,19.20878791809082,970.4180908203125,21.47737693786621,0.0,0.06710373610258102,87
1656402812.58007097,336108927,0,21.758750915527344,23.060258865356445,19.374813079833984,970.9564819335938,21.489091873168945,0.0,0.06717526167631149,87
1656402812.68004990,336208906,0,21.705230712890625,22.987916946411133,19.09462547302246,971.4866333007812,21.500598907470703,0.0,0.06717526167631149,87
1656402812.78006792,336308924,0,21.751665115356445,23.038389205932617,19.152318954467773,972.0189208984375,21.512178421020508,0.0,0.06718374788761139,87
1656402812.88004398,336408900,0,21.751239776611328,23.049686431884766,19.312517166137695,972.5552978515625,21.523845672607422,0.0,0.06723343580961227,87
1656402812.98007894,336508935,0,21.760377883911133,23.07634162902832,19.57306480407715,973.0991821289062,21.535680770874023,0.0,0.06723343580961227,87
1656402813.08005285,336608909,0,21.72026252746582,23.039918899536133,19.620325088500977,973.6441040039062,21.547515869140625,0.0,0.06725966930389404,87
1656402813.18015194,336709008,0,21.691062927246094,22.994247436523438,19.37542724609375,974.1829223632812,21.5592041015625,0.0,0.06725966930389404,87
1656402813.28004098,336808897,0,21.755878448486328,23.05512046813965,19.29655647277832,974.7183837890625,21.57085418701172,0.0,0.06733021885156631,87
1656402813.38013005,336908986,0,21.766983032226562,23.07436752319336,19.380645751953125,975.2572631835938,21.582584381103516,0.0,0.06745821237564087,87
1656402813.48006201,337008918,0,21.740081787109375,23.0506534576416,19.427907943725586,975.7965087890625,21.594308853149414,0.0,0.06745821237564087,87
1656402813.58007288,337108929,0,21.702360153198242,22.998191833496094,19.209402084350586,976.3302001953125,21.60589027404785,0.0,0.06745821237564087,87
1656402813.67999196,337208848,0,21.712797164916992,23.022504806518555,19.392000198364258,976.8685913085938,21.61758041381836,0.0,0.06753852218389511,87
1656402813.77999306,337308849,0,21.676990509033203,23.063949584960938,20.570419311523438,977.4400634765625,21.629968643188477,0.0,0.06742489337921143,87
1656402813.88006496,337408921,0,21.766983032226562,23.068607330322266,19.274770736694336,977.9758911132812,21.641632080078125,0.0,0.06752997636795044,87
1656402813.98002791,337508884,0,21.72907066345215,23.049989700317383,19.560482025146484,978.5191040039062,21.65343475341797,0.0,0.06752997636795044,87
1656402814.08007598,337608932,0,21.694032669067383,23.006786346435547,19.43956756591797,979.0593872070312,21.6651554107666,0.0,0.06752997636795044,87
1656402814.18004203,337708898,0,21.693073272705078,23.01951026916504,19.614187240600586,979.6040649414062,21.676971435546875,0.0,0.06762637197971344,87
1656402814.28010201,337808958,0,21.728975296020508,23.06886100769043,19.813053131103516,980.15478515625,21.68893814086914,0.0,0.06762637197971344,87
1656402814.38007092,337908927,0,21.72342300415039,23.05226707458496,19.64978790283203,980.7003173828125,21.700788497924805,0.0,0.06762637197971344,87
1656402814.48010302,338008959,0,21.74458122253418,23.070186614990234,19.601913452148438,981.2449951171875,21.71263313293457,0.0,0.06762637197971344,87
1656402814.58011007,338108966,0,21.72538948059082,23.042903900146484,19.48948860168457,981.7866821289062,21.724401473999023,0.0,0.06760124117136002,87
1656402814.68006897,338208925,0,21.67430877685547,22.996103286743164,19.552810668945312,982.3296508789062,21.736169815063477,0.0,0.06760124117136002,87
1656402814.78008986,338308946,0,21.691638946533203,23.0576171875,20.231035232543945,982.8917846679688,21.748363494873047,0.0,0.06751897186040878,87
1656402814.88006306,338408919,0,21.7248592376709,23.073266983032227,19.970792770385742,983.4464111328125,21.760412216186523,0.0,0.06751897186040878,87
1656402814.98009586,338508952,0,21.745920181274414,23.061038970947266,19.4616641998291,983.9872436523438,21.772172927856445,0.0,0.06757481396198273,87
1656402815.08001399,338608870,0,21.70360565185547,23.00690269470215,19.2867374420166,984.5225830078125,21.78379249572754,0.0,0.06757481396198273,87
1656402815.18016291,338709019,0,21.645875930786133,23.011837005615234,20.172725677490234,985.0838012695312,21.795940399169922,0.0,0.06771329045295715,87
